#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.040000 
 1 , 48.5680370331 , 0.328794 , 0.0 
 2 , 80.0419149399 , 0.333612 , 0.0 
 3 , 111.542843103 , 0.332694 , 0.0 
 4 , 143.08445406 , 0.334308 , 0.0 
#Free GPU Mem after validation step 146.6875 MiB 
 5 , 228.574538946 , 0.333056 , 0.0 
 6 , 259.952305079 , 0.331977 , 0.0 
 7 , 291.457220078 , 0.330925 , 0.332772 
 8 , 322.922873974 , 0.333892 , 0.332772 
 9 , 354.303926945 , 0.332339 , 0.332772 
 10 , 439.54341197 , 0.330477 , 0.332052 
 11 , 470.839657068 , 0.332503 , 0.332052 
 12 , 502.198266983 , 0.333968 , 0.332052 
 13 , 533.706174135 , 0.331899 , 0.332052 
 14 , 565.250898123 , 0.329192 , 0.332052 
 15 , 650.68881011 , 0.330903 , 0.33193 
 16 , 682.176450014 , 0.330949 , 0.33193 
 17 , 713.609091043 , 0.333366 , 0.33193 
 18 , 744.947385073 , 0.334474 , 0.33193 
 19 , 776.37943697 , 0.336034 , 0.33193 
 20 , 861.652842045 , 0.331389 , 0.331863 
 21 , 893.014322996 , 0.334328 , 0.331863 
 22 , 924.523009062 , 0.331876 , 0.331863 
 23 , 955.890109062 , 0.331795 , 0.331863 
 24 , 987.341128111 , 0.328341 , 0.331863 
 25 , 1072.54626894 , 0.332052 , 0.332265 
 26 , 1104.088907 , 0.331768 , 0.332265 
 27 , 1135.40232491 , 0.33268 , 0.332265 
 28 , 1166.81828499 , 0.330507 , 0.332265 
 29 , 1198.26807499 , 0.330495 , 0.332265 
 30 , 1283.63704014 , 0.332795 , 0.331821 
 31 , 1315.06206703 , 0.332461 , 0.331821 
 32 , 1346.4639461 , 0.332429 , 0.331821 
 33 , 1377.75069904 , 0.332582 , 0.331821 
 34 , 1409.14895201 , 0.332874 , 0.331821 
 35 , 1494.45125699 , 0.332875 , 0.330888 
 36 , 1525.94098902 , 0.333162 , 0.330888 
 37 , 1557.37377095 , 0.33163 , 0.330888 
 38 , 1588.59006 , 0.328118 , 0.330888 
 39 , 1619.95706105 , 0.327846 , 0.330888 
 40 , 1705.34149003 , 0.324926 , 0.325191 
 41 , 1736.5174551 , 0.324711 , 0.325191 
 42 , 1767.85784006 , 0.325597 , 0.325191 
 43 , 1799.21909404 , 0.325174 , 0.325191 
 44 , 1830.54538894 , 0.325965 , 0.325191 
 45 , 1915.70968413 , 0.320772 , 0.321003 
 46 , 1947.15715599 , 0.324538 , 0.321003 
 47 , 1978.70706296 , 0.319933 , 0.321003 
 48 , 2010.19065809 , 0.324726 , 0.321003 
 49 , 2041.47766614 , 0.320675 , 0.321003 
 50 , 2126.62983394 , 0.321789 , 0.321387 
 51 , 2158.00241113 , 0.321018 , 0.321387 
 52 , 2189.28054595 , 0.319042 , 0.321387 
 53 , 2220.60639691 , 0.323379 , 0.321387 
 54 , 2251.81664991 , 0.320156 , 0.321387 
 55 , 2337.02568793 , 0.3204 , 0.317752 
 56 , 2368.45590496 , 0.320967 , 0.317752 
 57 , 2399.91770291 , 0.321148 , 0.317752 
 58 , 2431.36470914 , 0.317162 , 0.317752 
 59 , 2462.74026012 , 0.320682 , 0.317752 
 60 , 2547.94797397 , 0.318402 , 0.319354 
 61 , 2579.45494795 , 0.318394 , 0.319354 
 62 , 2610.90461111 , 0.318139 , 0.319354 
 63 , 2642.28918505 , 0.317327 , 0.319354 
 64 , 2673.57019711 , 0.319567 , 0.319354 
 65 , 2758.76192999 , 0.318633 , 0.31762 
 66 , 2790.13734508 , 0.320357 , 0.31762 
 67 , 2821.49691391 , 0.318484 , 0.31762 
 68 , 2852.94681597 , 0.317597 , 0.31762 
 69 , 2884.39819193 , 0.317409 , 0.31762 
