#wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.020000 
 1 , 51.0845229626 , 0.363765 , 0.0 
 2 , 83.422424078 , 0.394036 , 0.0 
 3 , 116.66998601 , 0.394621 , 0.0 
 4 , 158.254683018 , 0.386367 , 0.0 
#Free GPU Mem after validation step 196.0625 MiB 
 5 , 242.268399954 , 0.404554 , 0.0 
 6 , 273.165893078 , 0.386781 , 0.0 
 7 , 304.070643902 , 0.393652 , 0.397759 
 8 , 334.964880943 , 0.397342 , 0.397759 
 9 , 366.444628 , 0.397367 , 0.397759 
 10 , 455.938132048 , 0.407588 , 0.396908 
 11 , 487.175370932 , 0.405041 , 0.396908 
 12 , 518.431177855 , 0.401188 , 0.396908 
 13 , 549.607910872 , 0.386503 , 0.396908 
 14 , 580.854991913 , 0.379726 , 0.396908 
 15 , 665.415348053 , 0.387699 , 0.389316 
 16 , 696.674916983 , 0.396352 , 0.389316 
 17 , 727.925200939 , 0.390434 , 0.389316 
 18 , 759.198940039 , 0.385668 , 0.389316 
 19 , 790.426795006 , 0.387033 , 0.389316 
 20 , 875.15831995 , 0.397682 , 0.396155 
 21 , 906.360992908 , 0.391822 , 0.396155 
 22 , 937.632380009 , 0.406472 , 0.396155 
 23 , 968.889476061 , 0.384614 , 0.396155 
 24 , 1000.19699001 , 0.38843 , 0.396155 
 25 , 1084.78882408 , 0.392863 , 0.400187 
 26 , 1115.96321201 , 0.389594 , 0.400187 
 27 , 1147.09058905 , 0.396072 , 0.400187 
 28 , 1178.29607296 , 0.394506 , 0.400187 
 29 , 1209.50172997 , 0.388005 , 0.400187 
 30 , 1293.99004292 , 0.398645 , 0.39758 
 31 , 1325.27522588 , 0.388578 , 0.39758 
 32 , 1356.49550986 , 0.394842 , 0.39758 
 33 , 1387.69646597 , 0.397599 , 0.39758 
 34 , 1418.975178 , 0.400229 , 0.39758 
 35 , 1503.61739492 , 0.39867 , 0.398555 
 36 , 1534.86925697 , 0.400222 , 0.398555 
 37 , 1566.01978588 , 0.394264 , 0.398555 
 38 , 1597.23402691 , 0.395177 , 0.398555 
 39 , 1628.53541303 , 0.396162 , 0.398555 
 40 , 1713.03410196 , 0.39545 , 0.396665 
 41 , 1744.33369303 , 0.405653 , 0.396665 
 42 , 1775.54306698 , 0.381398 , 0.396665 
 43 , 1806.75733685 , 0.396422 , 0.396665 
 44 , 1838.08146191 , 0.393134 , 0.396665 
 45 , 1922.68635201 , 0.385484 , 0.391447 
 46 , 1953.98252487 , 0.378369 , 0.391447 
 47 , 1985.27495289 , 0.384355 , 0.391447 
 48 , 2016.55371189 , 0.444175 , 0.391447 
 49 , 2047.82780194 , 0.400545 , 0.391447 
 50 , 2132.4029429 , 0.447113 , 0.452412 
 51 , 2163.68105197 , 0.435359 , 0.452412 
 52 , 2194.91532493 , 0.427763 , 0.452412 
 53 , 2226.12967205 , 0.420164 , 0.452412 
 54 , 2257.41608095 , 0.40882 , 0.452412 
 55 , 2341.93083787 , 0.400923 , 0.408733 
 56 , 2373.17641306 , 0.400805 , 0.408733 
 57 , 2404.37849498 , 0.415739 , 0.408733 
 58 , 2435.59299302 , 0.404601 , 0.408733 
 59 , 2466.87222791 , 0.406928 , 0.408733 
 60 , 2551.34199405 , 0.397677 , 0.395615 
 61 , 2582.57116103 , 0.402398 , 0.395615 
 62 , 2613.87300205 , 0.405419 , 0.395615 
 63 , 2645.14803195 , 0.405541 , 0.395615 
 64 , 2676.38719702 , 0.400883 , 0.395615 
 65 , 2760.98530293 , 0.396643 , 0.398217 
 66 , 2796.5742569 , 0.398029 , 0.398217 
 67 , 2827.40803099 , 0.400402 , 0.398217 
 68 , 2858.24600291 , 0.392929 , 0.398217 
