#wRandFlip 
#The training is running for 300 chunks, each with 1008 images. That are about 5 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.010000 
 1 , 78.3884861469 , 0.351731 , 0.0 
 2 , 111.476856947 , 0.333917 , 0.0 
 3 , 144.517231941 , 0.33308 , 0.0 
 4 , 182.107180119 , 0.33153 , 0.0 
#Free GPU Mem after validation step 138.0625 MiB 
 5 , 282.700804949 , 0.333473 , 0.0 
 6 , 314.213006973 , 0.333374 , 0.0 
 7 , 345.636043072 , 0.332954 , 0.331953 
 8 , 377.015506029 , 0.331288 , 0.331953 
 9 , 408.443267107 , 0.333271 , 0.331953 
 10 , 493.805989981 , 0.33116 , 0.332065 
 11 , 525.28083396 , 0.333427 , 0.332065 
 12 , 556.693022966 , 0.331877 , 0.332065 
 13 , 588.104573965 , 0.333909 , 0.332065 
 14 , 619.446123123 , 0.333906 , 0.332065 
 15 , 704.549051046 , 0.332356 , 0.331954 
 16 , 736.020724058 , 0.3328 , 0.331954 
 17 , 767.394876003 , 0.331122 , 0.331954 
 18 , 798.78252697 , 0.332222 , 0.331954 
 19 , 833.422244072 , 0.332121 , 0.331954 
 20 , 922.198570967 , 0.33071 , 0.331918 
 21 , 953.57940197 , 0.332652 , 0.331918 
 22 , 985.043426037 , 0.333458 , 0.331918 
 23 , 1016.47081399 , 0.332465 , 0.331918 
 24 , 1047.83967304 , 0.333999 , 0.331918 
 25 , 1133.16343808 , 0.330676 , 0.332086 
 26 , 1164.61980414 , 0.334645 , 0.332086 
 27 , 1196.04929614 , 0.334794 , 0.332086 
 28 , 1227.43514204 , 0.332796 , 0.332086 
 29 , 1258.83750606 , 0.332814 , 0.332086 
 30 , 1344.72891212 , 0.333334 , 0.331993 
 31 , 1376.30311203 , 0.332008 , 0.331993 
 32 , 1407.87285113 , 0.332784 , 0.331993 
 33 , 1439.39124608 , 0.331807 , 0.331993 
 34 , 1470.8852551 , 0.334173 , 0.331993 
 35 , 1560.07364607 , 0.331958 , 0.331906 
 36 , 1591.19808316 , 0.329467 , 0.331906 
 37 , 1622.31599808 , 0.331258 , 0.331906 
 38 , 1653.48920012 , 0.3318 , 0.331906 
 39 , 1684.55373001 , 0.331036 , 0.331906 
 40 , 1768.65833807 , 0.333641 , 0.331999 
 41 , 1799.62858796 , 0.330808 , 0.331999 
 42 , 1830.67967415 , 0.333354 , 0.331999 
 43 , 1861.7678051 , 0.332186 , 0.331999 
 44 , 1892.78076196 , 0.330831 , 0.331999 
 45 , 1977.03011417 , 0.332232 , 0.331902 
 46 , 2008.07772017 , 0.329265 , 0.331902 
 47 , 2039.14950705 , 0.331544 , 0.331902 
 48 , 2070.13006902 , 0.331679 , 0.331902 
 49 , 2101.18383408 , 0.332347 , 0.331902 
 50 , 2185.37687802 , 0.332499 , 0.331891 
 51 , 2216.36723113 , 0.332067 , 0.331891 
 52 , 2247.42508817 , 0.332675 , 0.331891 
 53 , 2278.48844314 , 0.33316 , 0.331891 
 54 , 2309.45686412 , 0.331548 , 0.331891 
 55 , 2393.68822908 , 0.332376 , 0.33193 
 56 , 2424.79969406 , 0.334263 , 0.33193 
 57 , 2455.9239831 , 0.332179 , 0.33193 
 58 , 2486.93490815 , 0.329575 , 0.33193 
 59 , 2518.07573795 , 0.333268 , 0.33193 
 60 , 2602.19333601 , 0.332343 , 0.332096 
 61 , 2633.25889206 , 0.333442 , 0.332096 
 62 , 2664.25983715 , 0.332323 , 0.332096 
 63 , 2695.27736807 , 0.331558 , 0.332096 
 64 , 2726.34055495 , 0.331289 , 0.332096 
 65 , 2810.74884605 , 0.332248 , 0.331972 
 66 , 2841.81288004 , 0.332471 , 0.331972 
 67 , 2872.9428091 , 0.329372 , 0.331972 
 68 , 2904.08475494 , 0.332347 , 0.331972 
 69 , 2935.17562795 , 0.331155 , 0.331972 
 70 , 3021.1168561 , 0.331647 , 0.332028 
 71 , 3054.70576215 , 0.331314 , 0.332028 
 72 , 3085.68973303 , 0.329853 , 0.332028 
 73 , 3116.68722796 , 0.332667 , 0.332028 
 74 , 3147.77023602 , 0.331535 , 0.332028 
 75 , 3231.84101701 , 0.329117 , 0.331923 
 76 , 3262.78484607 , 0.334506 , 0.331923 
 77 , 3293.80519414 , 0.33095 , 0.331923 
 78 , 3324.85898399 , 0.331265 , 0.331923 
