#wRandFlip 
#The training is running for 100 chunks, each with 10000 images. That are about 22 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.040000 
 1 , 366.913373947 , 0.225443 , 0.0 , 0.0, 0.0, 0.0 
 2 , 598.119192839 , 0.297536 , 0.0 , 0.0, 0.0, 0.0 
 3 , 832.988168001 , 0.29929 , 0.0 , 0.0, 0.0, 0.0 
 4 , 1077.22368193 , 0.298935 , 0.0 , 0.0, 0.0, 0.0 
 5 , 1309.879632 , 0.298883 , 0.0 , 0.0, 0.0, 0.0 
 6 , 1560.78349495 , 0.299606 , 0.0 , 0.0, 0.0, 0.0 
 7 , 1728.28076696 , 0.297324 , 0.0 , 0.0, 0.0, 0.0 
 8 , 1959.23710084 , 0.299976 , 0.0 , 0.0, 0.0, 0.0 
 9 , 2200.49450684 , 0.296968 , 0.0 , 0.0, 0.0, 0.0 
 10 , 2397.61706281 , 0.297954 , 0.0 , 0.0, 0.0, 0.0 
#wRandFlip 
#The training is running for 100 chunks, each with 10000 images. That are about 22 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.040000 
 1 , 269.797852993 , 0.225047 , 0.0 , 0.0, 0.0, 0.0 
 2 , 1970.57174206 , 0.298548 , 0.0 , 0.0, 0.0, 0.0 
 3 , 2190.38527012 , 0.297503 , 0.0 , 0.0, 0.0, 0.0 
 4 , 2355.11917496 , 0.298631 , 0.0 , 0.0, 0.0, 0.0 
 5 , 2518.49594712 , 0.297264 , 0.0 , 0.0, 0.0, 0.0 
 6 , 2682.55235505 , 0.29733 , 0.0 , 0.0, 0.0, 0.0 
 7 , 2846.09724998 , 0.298397 , 0.0 , 0.0, 0.0, 0.0 
 8 , 3009.57262897 , 0.297316 , 0.0 , 0.0, 0.0, 0.0 
 9 , 3173.22113013 , 0.298716 , 0.0 , 0.0, 0.0, 0.0 
 10 , 3336.21089411 , 0.298092 , 0.0 , 0.0, 0.0, 0.0 
 11 , 3499.94574904 , 0.299546 , 0.0 , 0.0, 0.0, 0.0 
 12 , 3663.36152816 , 0.298878 , 0.0 , 0.0, 0.0, 0.0 
 13 , 3827.08305717 , 0.297879 , 0.0 , 0.0, 0.0, 0.0 
 14 , 3990.42933702 , 0.299694 , 0.0 , 0.0, 0.0, 0.0 
 15 , 4153.63029909 , 0.298327 , 0.0 , 0.0, 0.0, 0.0 
 16 , 4316.87543511 , 0.298659 , 0.0 , 0.0, 0.0, 0.0 
 17 , 4479.76699901 , 0.297642 , 0.0 , 0.0, 0.0, 0.0 
 18 , 4642.52140498 , 0.297909 , 0.0 , 0.0, 0.0, 0.0 
 19 , 4805.19737005 , 0.29757 , 0.0 , 0.0, 0.0, 0.0 
