#wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 1 , 91.7886447906 , 0.351403 , 0.0 , 0.0, 0.0, 0.0 
 2 , 187.063775778 , 0.26978 , 0.0 , 0.0, 0.0, 0.0 
 3 , 219.9807899 , 0.267492 , 0.0 , 0.0, 0.0, 0.0 
 4 , 251.891930819 , 0.265376 , 0.0 , 0.0, 0.0, 0.0 
#Free GPU Mem after validation step 265.3125 MiB 
 5 , 353.461086988 , 0.265306 , 0.0 , 0.0, 0.0, 0.0 
 6 , 387.280497789 , 0.266638 , 0.0 , 0.0, 0.0, 0.0 
 7 , 421.183000803 , 0.262014 , 0.301923, 0.269891, 0.258294, 0.0  
 8 , 452.050991774 , 0.26209 , 0.301923, 0.269891, 0.258294, 0.0  
 9 , 482.702517986 , 0.262279 , 0.301923, 0.269891, 0.258294, 0.0  
 10 , 557.289657831 , 0.265424 , 0.257134, 0.269891, 0.257083, 0.0  
 11 , 587.03003788 , 0.266654 , 0.257134, 0.269891, 0.257083, 0.0  
 12 , 628.095140934 , 0.261978 , 0.257134, 0.269891, 0.257083, 0.0  
 13 , 659.04082799 , 0.264069 , 0.257134, 0.269891, 0.257083, 0.0  
 14 , 688.832211971 , 0.26518 , 0.257134, 0.269891, 0.257083, 0.0  
 15 , 764.208757877 , 0.260539 , 0.257027, 0.272341, 0.254336, 0.0  
 16 , 792.346208811 , 0.265494 , 0.257027, 0.272341, 0.254336, 0.0  
 17 , 821.233571768 , 0.261903 , 0.257027, 0.272341, 0.254336, 0.0  
 18 , 849.279243946 , 0.264735 , 0.257027, 0.272341, 0.254336, 0.0  
 19 , 878.102953911 , 0.261985 , 0.257027, 0.272341, 0.254336, 0.0  
 20 , 948.403856993 , 0.263957 , 0.256891, 0.269891, 0.257349, 0.0  
 21 , 977.197886944 , 0.262972 , 0.256891, 0.269891, 0.257349, 0.0  
 22 , 1005.14795184 , 0.261717 , 0.256891, 0.269891, 0.257349, 0.0  
 23 , 1042.43489695 , 0.266617 , 0.256891, 0.269891, 0.257349, 0.0  
 24 , 1070.51626897 , 0.259377 , 0.256891, 0.269891, 0.257349, 0.0  
 25 , 1140.65689683 , 0.261702 , 0.257042, 0.269891, 0.254797, 0.0  
 26 , 1168.75100899 , 0.259509 , 0.257042, 0.269891, 0.254797, 0.0  
 27 , 1197.66050577 , 0.263306 , 0.257042, 0.269891, 0.254797, 0.0  
 28 , 1225.5726068 , 0.263934 , 0.257042, 0.269891, 0.254797, 0.0  
 29 , 1254.71294689 , 0.264169 , 0.257042, 0.269891, 0.254797, 0.0  
 30 , 1322.76439285 , 0.260593 , 0.256828, 0.269891, 0.253076, 0.0  
 31 , 1351.45601177 , 0.26207 , 0.256828, 0.269891, 0.253076, 0.0  
 32 , 1379.29953885 , 0.266869 , 0.256828, 0.269891, 0.253076, 0.0  
 33 , 1408.45460391 , 0.260699 , 0.256828, 0.269891, 0.253076, 0.0  
 34 , 1436.41037178 , 0.264411 , 0.256828, 0.269891, 0.253076, 0.0  
 35 , 1505.01670694 , 0.263389 , 0.25695, 0.272341, 0.256225, 0.0  
 36 , 1533.03771687 , 0.263255 , 0.25695, 0.272341, 0.256225, 0.0  
 37 , 1562.12640285 , 0.262556 , 0.25695, 0.272341, 0.256225, 0.0  
 38 , 1590.07282281 , 0.263234 , 0.25695, 0.272341, 0.256225, 0.0  
 39 , 1619.22386479 , 0.264292 , 0.25695, 0.272341, 0.256225, 0.0  
 40 , 1687.26693988 , 0.263856 , 0.25689, 0.269891, 0.255581, 0.0  
 41 , 1716.2326839 , 0.266964 , 0.25689, 0.269891, 0.255581, 0.0  
 42 , 1744.12596488 , 0.264949 , 0.25689, 0.269891, 0.255581, 0.0  
 43 , 1773.36281085 , 0.266009 , 0.25689, 0.269891, 0.255581, 0.0  
 44 , 1801.3458488 , 0.261937 , 0.25689, 0.269891, 0.255581, 0.0  
 45 , 1869.96531796 , 0.266478 , 0.257572, 0.269891, 0.25825, 0.0  
 46 , 1897.9912858 , 0.26551 , 0.257572, 0.269891, 0.25825, 0.0  
 47 , 1927.05887699 , 0.261629 , 0.257572, 0.269891, 0.25825, 0.0  
 48 , 1955.07592678 , 0.263924 , 0.257572, 0.269891, 0.25825, 0.0  
 49 , 1984.17005491 , 0.260964 , 0.257572, 0.269891, 0.25825, 0.0  
 50 , 2052.06654787 , 0.263299 , 0.256879, 0.269891, 0.258917, 0.0  
 51 , 2080.91482496 , 0.262476 , 0.256879, 0.269891, 0.258917, 0.0  
 52 , 2108.73953795 , 0.26476 , 0.256879, 0.269891, 0.258917, 0.0  
 53 , 2137.84707999 , 0.266645 , 0.256879, 0.269891, 0.258917, 0.0  
