#wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.020000 
 1 , 89.5412180424 , 0.293082 , 0.0 , 0.0, 0.0, 0.0 
 2 , 151.957019091 , 0.256682 , 0.0 , 0.0, 0.0, 0.0 
 3 , 183.125949144 , 0.25881 , 0.0 , 0.0, 0.0, 0.0 
 4 , 214.490988016 , 0.259025 , 0.0 , 0.0, 0.0, 0.0 
#Free GPU Mem after validation step 256.9375 MiB 
 5 , 306.647228003 , 0.259057 , 0.0 , 0.0, 0.0, 0.0 
 6 , 338.671574116 , 0.258399 , 0.0 , 0.0, 0.0, 0.0 
 7 , 370.726907969 , 0.260435 , 0.243392, 0.276532, 0.245029, 0.586263  
 8 , 401.574869156 , 0.25647 , 0.243392, 0.276532, 0.245029, 0.586263  
 9 , 434.105985165 , 0.258586 , 0.243392, 0.276532, 0.245029, 0.586263  
 10 , 508.839826107 , 0.256487 , 0.243392, 0.276532, 0.242084, 0.586263  
 11 , 540.583693981 , 0.256325 , 0.243392, 0.276532, 0.242084, 0.586263  
 12 , 575.090497017 , 0.258369 , 0.243392, 0.276532, 0.242084, 0.586263  
 13 , 605.297022104 , 0.257759 , 0.243392, 0.276532, 0.242084, 0.586263  
 14 , 635.196699142 , 0.256522 , 0.243392, 0.276532, 0.242084, 0.586263  
 15 , 708.04532814 , 0.257959 , 0.243392, 0.276532, 0.243564, 0.586263  
 16 , 741.220857143 , 0.255856 , 0.243392, 0.276532, 0.243564, 0.586263  
 17 , 771.908290148 , 0.256545 , 0.243392, 0.276532, 0.243564, 0.586263  
 18 , 803.837759018 , 0.259183 , 0.243392, 0.276532, 0.243564, 0.586263  
 19 , 835.831575155 , 0.260167 , 0.243392, 0.276532, 0.243564, 0.586263  
 20 , 910.391304016 , 0.257411 , 0.243392, 0.276532, 0.243729, 0.586263  
 21 , 942.499084949 , 0.256568 , 0.243392, 0.276532, 0.243729, 0.586263  
 22 , 976.872287989 , 0.255664 , 0.243392, 0.276532, 0.243729, 0.586263  
 23 , 1006.66781211 , 0.258793 , 0.243392, 0.276532, 0.243729, 0.586263  
 24 , 1036.70039415 , 0.253727 , 0.243392, 0.276532, 0.243729, 0.586263  
 25 , 1107.08715105 , 0.258681 , 0.243392, 0.276532, 0.244985, 0.586263  
 26 , 1136.78237605 , 0.259269 , 0.243392, 0.276532, 0.244985, 0.586263  
 27 , 1165.418185 , 0.260573 , 0.243392, 0.276532, 0.244985, 0.586263  
 28 , 1195.18354797 , 0.257172 , 0.243392, 0.276532, 0.244985, 0.586263  
 29 , 1225.29606915 , 0.2609 , 0.243392, 0.276532, 0.244985, 0.586263  
 30 , 1295.34993601 , 0.258104 , 0.243392, 0.276532, 0.243576, 0.586263  
 31 , 1324.78638816 , 0.259857 , 0.243392, 0.276532, 0.243576, 0.586263  
 32 , 1353.43011403 , 0.256899 , 0.243392, 0.276532, 0.243576, 0.586263  
 33 , 1383.35515499 , 0.255343 , 0.243392, 0.276532, 0.243576, 0.586263  
 34 , 1413.22788906 , 0.25814 , 0.243392, 0.276532, 0.243576, 0.586263  
 35 , 1483.14010406 , 0.260226 , 0.243392, 0.276532, 0.246512, 0.586263  
 36 , 1512.76655006 , 0.256114 , 0.243392, 0.276532, 0.246512, 0.586263  
 37 , 1541.04345798 , 0.254752 , 0.243392, 0.276532, 0.246512, 0.586263  
 38 , 1570.39987612 , 0.255311 , 0.243392, 0.276532, 0.246512, 0.586263  
 39 , 1600.27056909 , 0.255084 , 0.243392, 0.276532, 0.246512, 0.586263  
 40 , 1670.35539007 , 0.259644 , 0.243392, 0.276532, 0.244073, 0.586263  
 41 , 1699.02392316 , 0.259711 , 0.243392, 0.276532, 0.244073, 0.586263  
 42 , 1728.63672304 , 0.255161 , 0.243392, 0.276532, 0.244073, 0.586263  
 43 , 1758.11388206 , 0.256987 , 0.243392, 0.276532, 0.244073, 0.586263  
 44 , 1787.28895807 , 0.258756 , 0.243392, 0.276532, 0.244073, 0.586263  
 45 , 1858.37823701 , 0.261668 , 0.243392, 0.276532, 0.247804, 0.586263  
 46 , 1886.65132904 , 0.26034 , 0.243392, 0.276532, 0.247804, 0.586263  
 47 , 1916.07652712 , 0.257181 , 0.243392, 0.276532, 0.247804, 0.586263  
 48 , 1945.16608906 , 0.256339 , 0.243392, 0.276532, 0.247804, 0.586263  
 49 , 1974.40527105 , 0.255195 , 0.243392, 0.276532, 0.247804, 0.586263  
 50 , 2045.05375314 , 0.256849 , 0.243392, 0.276532, 0.243439, 0.586263  
 51 , 2073.68733096 , 0.256993 , 0.243392, 0.276532, 0.243439, 0.586263  
 52 , 2103.19223714 , 0.259162 , 0.243392, 0.276532, 0.243439, 0.586263  
 53 , 2131.82123399 , 0.257791 , 0.243392, 0.276532, 0.243439, 0.586263  
 54 , 2162.20913696 , 0.256317 , 0.243392, 0.276532, 0.243439, 0.586263  
 55 , 2232.77628398 , 0.255467 , 0.243392, 0.276532, 0.241137, 0.586263  
 56 , 2261.40717101 , 0.257076 , 0.243392, 0.276532, 0.241137, 0.586263  
 57 , 2291.01462412 , 0.255438 , 0.243392, 0.276532, 0.241137, 0.586263  
 58 , 2319.83921099 , 0.25784 , 0.243392, 0.276532, 0.241137, 0.586263  
 59 , 2350.01710415 , 0.257798 , 0.243392, 0.276532, 0.241137, 0.586263  
 60 , 2420.19690108 , 0.256304 , 0.243392, 0.276532, 0.241606, 0.586263  
 61 , 2449.66443801 , 0.258687 , 0.243392, 0.276532, 0.241606, 0.586263  
 62 , 2478.174752 , 0.257729 , 0.243392, 0.276532, 0.241606, 0.586263  
 63 , 2508.03930998 , 0.255433 , 0.243392, 0.276532, 0.241606, 0.586263  
 64 , 2537.357867 , 0.255966 , 0.243392, 0.276532, 0.241606, 0.586263  
 65 , 2607.64036512 , 0.25865 , 0.243392, 0.276532, 0.244905, 0.586263  
 66 , 2636.04442716 , 0.254843 , 0.243392, 0.276532, 0.244905, 0.586263  
 67 , 2665.54324317 , 0.255494 , 0.243392, 0.276532, 0.244905, 0.586263  
 68 , 2694.24668908 , 0.26115 , 0.243392, 0.276532, 0.244905, 0.586263  
 69 , 2724.29193401 , 0.256574 , 0.243392, 0.276532, 0.244905, 0.586263  
 70 , 2794.44501996 , 0.258411 , 0.243392, 0.276532, 0.244596, 0.586263  
 71 , 2822.76647997 , 0.25774 , 0.243392, 0.276532, 0.244596, 0.586263  
 72 , 2852.14977503 , 0.25654 , 0.243392, 0.276532, 0.244596, 0.586263  
 73 , 2880.85514402 , 0.254905 , 0.243392, 0.276532, 0.244596, 0.586263  
 74 , 2910.8694911 , 0.257573 , 0.243392, 0.276532, 0.244596, 0.586263  
 75 , 2980.89832997 , 0.256601 , 0.243392, 0.276532, 0.242142, 0.586263  
 76 , 3010.23205805 , 0.259165 , 0.243392, 0.276532, 0.242142, 0.586263  
 77 , 3038.62804413 , 0.257267 , 0.243392, 0.276532, 0.242142, 0.586263  
 78 , 3068.30675101 , 0.257987 , 0.243392, 0.276532, 0.242142, 0.586263  
 79 , 3098.24398708 , 0.260191 , 0.243392, 0.276532, 0.242142, 0.586263  
 80 , 3168.77905202 , 0.25766 , 0.243392, 0.276532, 0.242524, 0.586263  
 81 , 3197.21058416 , 0.262351 , 0.243392, 0.276532, 0.242524, 0.586263  
 82 , 3226.74481297 , 0.261445 , 0.243392, 0.276532, 0.242524, 0.586263  
 83 , 3256.05148602 , 0.256926 , 0.243392, 0.276532, 0.242524, 0.586263  
 84 , 3285.07971811 , 0.256453 , 0.243392, 0.276532, 0.242524, 0.586263  
 85 , 3355.24947596 , 0.256008 , 0.243392, 0.276532, 0.240699, 0.586263  
 86 , 3384.91394114 , 0.257958 , 0.243392, 0.276532, 0.240699, 0.586263  
 87 , 3414.15996003 , 0.259603 , 0.243392, 0.276532, 0.240699, 0.586263  
 88 , 3442.68054104 , 0.257447 , 0.243392, 0.276532, 0.240699, 0.586263  
 89 , 3472.98797297 , 0.254487 , 0.243392, 0.276532, 0.240699, 0.586263  
 90 , 3542.97107601 , 0.25888 , 0.243392, 0.276532, 0.243236, 0.586263  
 91 , 3572.31168818 , 0.255805 , 0.243392, 0.276532, 0.243236, 0.586263  
 92 , 3600.81670213 , 0.258933 , 0.243392, 0.276532, 0.243236, 0.586263  
 93 , 3630.330724 , 0.25855 , 0.243392, 0.276532, 0.243236, 0.586263  
 94 , 3660.03512096 , 0.257879 , 0.243392, 0.276532, 0.243236, 0.586263  
 95 , 3729.93613601 , 0.256765 , 0.243392, 0.276532, 0.242544, 0.586263  
 96 , 3759.22119999 , 0.254456 , 0.243392, 0.276532, 0.242544, 0.586263  
 97 , 3787.86930513 , 0.256298 , 0.243392, 0.276532, 0.242544, 0.586263  
 98 , 3817.47380114 , 0.256849 , 0.243392, 0.276532, 0.242544, 0.586263  
 99 , 3847.00889111 , 0.25385 , 0.243392, 0.276532, 0.242544, 0.586263  
 100 , 3917.05378699 , 0.258361 , 0.243392, 0.276532, 0.245254, 0.586263  
 101 , 3946.34317112 , 0.256718 , 0.243392, 0.276532, 0.245254, 0.586263  
 102 , 3974.81730604 , 0.256995 , 0.243392, 0.276532, 0.245254, 0.586263  
 103 , 4004.38717318 , 0.258902 , 0.243392, 0.276532, 0.245254, 0.586263  
 104 , 4033.62595797 , 0.259164 , 0.243392, 0.276532, 0.245254, 0.586263  
 105 , 4104.68952298 , 0.260352 , 0.243392, 0.276532, 0.246348, 0.586263  
 106 , 4133.32643104 , 0.259048 , 0.243392, 0.276532, 0.246348, 0.586263  
 107 , 4163.11466408 , 0.257875 , 0.243392, 0.276532, 0.246348, 0.586263  
 108 , 4191.80766296 , 0.260892 , 0.243392, 0.276532, 0.246348, 0.586263  
 109 , 4222.10079408 , 0.255862 , 0.243392, 0.276532, 0.246348, 0.586263  
 110 , 4291.94723797 , 0.25945 , 0.243392, 0.276532, 0.244505, 0.586263  
 111 , 4321.32870603 , 0.260473 , 0.243392, 0.276532, 0.244505, 0.586263  
 112 , 4349.94328117 , 0.256837 , 0.243392, 0.276532, 0.244505, 0.586263  
