#wRandFlip 
#The training is running for 100 chunks, each with 10000 images. That are about 20 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 1 , 435.548160791 , 0.226904 , 0.0 , 0.0, 0.0, 0.0 
 2 , 812.114162922 , 0.299797 , 0.0 , 0.0, 0.0, 0.0 
 3 , 1131.2057519 , 0.298209 , 0.0 , 0.0, 0.0, 0.0 
 4 , 1450.34238195 , 0.299272 , 0.0 , 0.0, 0.0, 0.0 
 5 , 1768.84277081 , 0.29747 , 0.0 , 0.0, 0.0, 0.0 
 6 , 2089.09360981 , 0.298903 , 0.0 , 0.0, 0.0, 0.0 
#wRandFlip 
#The training is running for 100 chunks, each with 10000 images. That are about 20 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 100 chunks, each with 10000 images. That are about 20 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 1 , 332.74399209 , 0.226863 , 0.0 , 0.0, 0.0, 0.0 
 2 , 633.973203897 , 0.30071 , 0.0 , 0.0, 0.0, 0.0 
 3 , 873.036277056 , 0.297259 , 0.0 , 0.0, 0.0, 0.0 
