#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.002000 
 1 , 348.168516874 , 0.247024 , 0.0 , 0.0, 0.0, 0.0 
 2 , 628.716907024 , 0.298655 , 0.0 , 0.0, 0.0, 0.0 
 3 , 836.130192995 , 0.296411 , 0.0 , 0.0, 0.0, 0.0 
 4 , 1042.48976493 , 0.295493 , 0.0 , 0.0, 0.0, 0.0 
 5 , 1248.80646586 , 0.295296 , 0.0 , 0.0, 0.0, 0.0 
 6 , 1455.58919597 , 0.295015 , 0.0 , 0.0, 0.0, 0.0 
 7 , 1661.97673488 , 0.294526 , 0.0 , 0.0, 0.0, 0.0 
 8 , 1868.33930206 , 0.295058 , 0.0 , 0.0, 0.0, 0.0 
 9 , 2075.15834785 , 0.294378 , 0.0 , 0.0, 0.0, 0.0 
#Free GPU Mem after validation step 4749.75 MiB 
 10 , 2394.07498598 , 0.294177 , 0.0 , 0.0, 0.0, 0.0 
 11 , 2603.28965306 , 0.296756 , 0.0 , 0.0, 0.0, 0.0 
 12 , 2810.57271504 , 0.295756 , 0.147775, 0.213214, 0.148451, 0.720052  
 13 , 3017.18980408 , 0.295225 , 0.147775, 0.213214, 0.148451, 0.720052  
 14 , 3223.45003986 , 0.293967 , 0.147775, 0.213214, 0.148451, 0.720052  
 15 , 3429.92070794 , 0.295696 , 0.147775, 0.213214, 0.148451, 0.720052  
 16 , 3636.29921985 , 0.294681 , 0.147775, 0.213214, 0.148451, 0.720052  
 17 , 3842.63207102 , 0.293092 , 0.147775, 0.213214, 0.148451, 0.720052  
 18 , 4048.93330407 , 0.294562 , 0.147775, 0.213214, 0.148451, 0.720052  
 19 , 4255.43291306 , 0.29385 , 0.147775, 0.213214, 0.148451, 0.720052  
 20 , 4524.51323795 , 0.313411 , 0.2384, 0.265341, 0.235912, 0.261068  
 21 , 4730.87810493 , 0.317672 , 0.2384, 0.265341, 0.235912, 0.261068  
 22 , 4937.22095895 , 0.317044 , 0.2384, 0.265341, 0.235912, 0.261068  
 23 , 5143.51893902 , 0.317113 , 0.2384, 0.265341, 0.235912, 0.261068  
 24 , 5349.76191092 , 0.316648 , 0.2384, 0.265341, 0.235912, 0.261068  
 25 , 5556.01814485 , 0.310509 , 0.2384, 0.265341, 0.235912, 0.261068  
 26 , 5762.29916286 , 0.308046 , 0.2384, 0.265341, 0.235912, 0.261068  
 27 , 5968.52951097 , 0.309089 , 0.2384, 0.265341, 0.235912, 0.261068  
 28 , 6174.76767302 , 0.309117 , 0.2384, 0.265341, 0.235912, 0.261068  
 29 , 6381.05941105 , 0.306301 , 0.2384, 0.265341, 0.235912, 0.261068  
 30 , 6648.77906203 , 0.309337 , 0.209095, 0.270102, 0.209275, 0.592285  
 31 , 6855.05964303 , 0.307188 , 0.209095, 0.270102, 0.209275, 0.592285  
 32 , 7061.51670694 , 0.308557 , 0.209095, 0.270102, 0.209275, 0.592285  
 33 , 7267.89265704 , 0.308423 , 0.209095, 0.270102, 0.209275, 0.592285  
 34 , 7474.22470593 , 0.306913 , 0.209095, 0.270102, 0.209275, 0.592285  
 35 , 7680.60631299 , 0.3085 , 0.209095, 0.270102, 0.209275, 0.592285  
 36 , 7886.98264194 , 0.307252 , 0.209095, 0.270102, 0.209275, 0.592285  
 37 , 8093.35946608 , 0.307487 , 0.209095, 0.270102, 0.209275, 0.592285  
 38 , 8299.80364203 , 0.308337 , 0.209095, 0.270102, 0.209275, 0.592285  
 39 , 8506.25659204 , 0.306602 , 0.209095, 0.270102, 0.209275, 0.592285  
 40 , 8773.86956787 , 0.308728 , 0.208909, 0.270102, 0.209291, 0.592285  
 41 , 8980.36436605 , 0.307941 , 0.208909, 0.270102, 0.209291, 0.592285  
 42 , 9186.83594584 , 0.307995 , 0.208909, 0.270102, 0.209291, 0.592285  
 43 , 9393.23297405 , 0.307454 , 0.208909, 0.270102, 0.209291, 0.592285  
 44 , 9615.15232587 , 0.307642 , 0.208909, 0.270102, 0.209291, 0.592285  
 45 , 9821.77547503 , 0.307864 , 0.208909, 0.270102, 0.209291, 0.592285  
 46 , 10028.2715991 , 0.306396 , 0.208909, 0.270102, 0.209291, 0.592285  
 47 , 10234.8755829 , 0.307393 , 0.208909, 0.270102, 0.209291, 0.592285  
 48 , 10441.5527029 , 0.30746 , 0.208909, 0.270102, 0.209291, 0.592285  
 49 , 10648.7212379 , 0.30708 , 0.208909, 0.270102, 0.209291, 0.592285  
 50 , 10917.2845969 , 0.309028 , 0.208934, 0.270102, 0.209373, 0.592285  
 51 , 11123.918045 , 0.307575 , 0.208934, 0.270102, 0.209373, 0.592285  
 52 , 11330.6139319 , 0.30723 , 0.208934, 0.270102, 0.209373, 0.592285  
 53 , 11537.4690499 , 0.308134 , 0.208934, 0.270102, 0.209373, 0.592285  
 54 , 11744.8368189 , 0.307822 , 0.208934, 0.270102, 0.209373, 0.592285  
 55 , 11952.6589739 , 0.30876 , 0.208934, 0.270102, 0.209373, 0.592285  
 56 , 12160.169045 , 0.30863 , 0.208934, 0.270102, 0.209373, 0.592285  
 57 , 12367.801908 , 0.306718 , 0.208934, 0.270102, 0.209373, 0.592285  
 58 , 12575.576484 , 0.307506 , 0.208934, 0.270102, 0.209373, 0.592285  
 59 , 12784.1830349 , 0.307979 , 0.208934, 0.270102, 0.209373, 0.592285  
 60 , 13054.3324409 , 0.308298 , 0.209031, 0.270102, 0.209302, 0.592285  
 61 , 13262.7937789 , 0.308645 , 0.209031, 0.270102, 0.209302, 0.592285  
 62 , 13471.4805961 , 0.307246 , 0.209031, 0.270102, 0.209302, 0.592285  
 63 , 13680.431638 , 0.30769 , 0.209031, 0.270102, 0.209302, 0.592285  
 64 , 13889.123229 , 0.30811 , 0.209031, 0.270102, 0.209302, 0.592285  
 65 , 14097.9415131 , 0.306981 , 0.209031, 0.270102, 0.209302, 0.592285  
 66 , 14306.613637 , 0.30717 , 0.209031, 0.270102, 0.209302, 0.592285  
 67 , 14515.998502 , 0.307547 , 0.209031, 0.270102, 0.209302, 0.592285  
 68 , 14724.8249459 , 0.307718 , 0.209031, 0.270102, 0.209302, 0.592285  
 69 , 14933.9220428 , 0.307201 , 0.209031, 0.270102, 0.209302, 0.592285  
 70 , 15205.4564509 , 0.307879 , 0.209071, 0.270102, 0.209397, 0.592285  
 71 , 15414.628933 , 0.307437 , 0.209071, 0.270102, 0.209397, 0.592285  
 72 , 15624.487416 , 0.306792 , 0.209071, 0.270102, 0.209397, 0.592285  
 73 , 15834.6113648 , 0.307146 , 0.209071, 0.270102, 0.209397, 0.592285  
 74 , 16044.0613658 , 0.308098 , 0.209071, 0.270102, 0.209397, 0.592285  
 75 , 16253.881207 , 0.306654 , 0.209071, 0.270102, 0.209397, 0.592285  
 76 , 16463.776649 , 0.308282 , 0.209071, 0.270102, 0.209397, 0.592285  
 77 , 16673.8373361 , 0.307398 , 0.209071, 0.270102, 0.209397, 0.592285  
 78 , 16884.1372421 , 0.307039 , 0.209071, 0.270102, 0.209397, 0.592285  
 79 , 17094.345109 , 0.307251 , 0.209071, 0.270102, 0.209397, 0.592285  
 80 , 17366.5462699 , 0.307265 , 0.209006, 0.270102, 0.209367, 0.592285  
 81 , 17576.4256968 , 0.307364 , 0.209006, 0.270102, 0.209367, 0.592285  
 82 , 17786.623512 , 0.30703 , 0.209006, 0.270102, 0.209367, 0.592285  
 83 , 17996.0586419 , 0.307399 , 0.209006, 0.270102, 0.209367, 0.592285  
 84 , 18205.8172109 , 0.307542 , 0.209006, 0.270102, 0.209367, 0.592285  
 85 , 18415.8869839 , 0.307985 , 0.209006, 0.270102, 0.209367, 0.592285  
 86 , 18625.91134 , 0.306625 , 0.209006, 0.270102, 0.209367, 0.592285  
 87 , 18835.5485399 , 0.308239 , 0.209006, 0.270102, 0.209367, 0.592285  
 88 , 19045.5768559 , 0.308247 , 0.209006, 0.270102, 0.209367, 0.592285  
 89 , 19255.4783959 , 0.306885 , 0.209006, 0.270102, 0.209367, 0.592285  
 90 , 19527.640326 , 0.306922 , 0.209051, 0.270102, 0.209363, 0.592285  
 91 , 19738.352906 , 0.307673 , 0.209051, 0.270102, 0.209363, 0.592285  
 92 , 19948.419944 , 0.307762 , 0.209051, 0.270102, 0.209363, 0.592285  
 93 , 20159.166079 , 0.307951 , 0.209051, 0.270102, 0.209363, 0.592285  
 94 , 20369.906049 , 0.306315 , 0.209051, 0.270102, 0.209363, 0.592285  
 95 , 20580.3188391 , 0.30782 , 0.209051, 0.270102, 0.209363, 0.592285  
 96 , 20791.0151849 , 0.306258 , 0.209051, 0.270102, 0.209363, 0.592285  
 97 , 21001.753046 , 0.307926 , 0.209051, 0.270102, 0.209363, 0.592285  
 98 , 21212.583519 , 0.306985 , 0.209051, 0.270102, 0.209363, 0.592285  
 99 , 21423.300369 , 0.307124 , 0.209051, 0.270102, 0.209363, 0.592285  
 100 , 21696.3679879 , 0.306911 , 0.209084, 0.270102, 0.209005, 0.592285  
 101 , 21907.1759779 , 0.307873 , 0.209084, 0.270102, 0.209005, 0.592285  
 102 , 22117.8679709 , 0.307242 , 0.209084, 0.270102, 0.209005, 0.592285  
 103 , 22328.7462449 , 0.307838 , 0.209084, 0.270102, 0.209005, 0.592285  
 104 , 22539.6967239 , 0.307309 , 0.209084, 0.270102, 0.209005, 0.592285  
 105 , 22750.6926849 , 0.307118 , 0.209084, 0.270102, 0.209005, 0.592285  
 106 , 22961.55123 , 0.307849 , 0.209084, 0.270102, 0.209005, 0.592285  
 107 , 23172.5649199 , 0.307234 , 0.209084, 0.270102, 0.209005, 0.592285  
 108 , 23383.1908231 , 0.308602 , 0.209084, 0.270102, 0.209005, 0.592285  
 109 , 23594.0575819 , 0.30702 , 0.209084, 0.270102, 0.209005, 0.592285  
 110 , 23867.1169159 , 0.30841 , 0.208981, 0.270102, 0.209275, 0.592285  
 111 , 24078.1902719 , 0.307683 , 0.208981, 0.270102, 0.209275, 0.592285  
 112 , 24288.9501328 , 0.307383 , 0.208981, 0.270102, 0.209275, 0.592285  
 113 , 24499.74735 , 0.307604 , 0.208981, 0.270102, 0.209275, 0.592285  
 114 , 24710.3393369 , 0.306795 , 0.208981, 0.270102, 0.209275, 0.592285  
 115 , 24920.8263919 , 0.307928 , 0.208981, 0.270102, 0.209275, 0.592285  
 116 , 25131.4600871 , 0.307798 , 0.208981, 0.270102, 0.209275, 0.592285  
 117 , 25342.3322561 , 0.308446 , 0.208981, 0.270102, 0.209275, 0.592285  
 118 , 25553.353204 , 0.307238 , 0.208981, 0.270102, 0.209275, 0.592285  
 119 , 25764.1615589 , 0.306665 , 0.208981, 0.270102, 0.209275, 0.592285  
 120 , 26035.9193799 , 0.307696 , 0.209101, 0.270102, 0.209338, 0.592285  
 121 , 26245.302459 , 0.307297 , 0.209101, 0.270102, 0.209338, 0.592285  
 122 , 26455.3092051 , 0.307985 , 0.209101, 0.270102, 0.209338, 0.592285  
 123 , 26665.5888669 , 0.306371 , 0.209101, 0.270102, 0.209338, 0.592285  
 124 , 26876.2305701 , 0.306724 , 0.209101, 0.270102, 0.209338, 0.592285  
 125 , 27086.5730829 , 0.306656 , 0.209101, 0.270102, 0.209338, 0.592285  
 126 , 27297.2603569 , 0.307743 , 0.209101, 0.270102, 0.209338, 0.592285  
 127 , 27507.805177 , 0.306675 , 0.209101, 0.270102, 0.209338, 0.592285  
 128 , 27718.5622399 , 0.307865 , 0.209101, 0.270102, 0.209338, 0.592285  
 129 , 27929.0665569 , 0.30731 , 0.209101, 0.270102, 0.209338, 0.592285  
 130 , 28201.2657359 , 0.3077 , 0.208886, 0.270102, 0.20909, 0.592285  
 131 , 28411.878139 , 0.308234 , 0.208886, 0.270102, 0.20909, 0.592285  
 132 , 28622.7296679 , 0.306759 , 0.208886, 0.270102, 0.20909, 0.592285  
 133 , 28833.5528939 , 0.308084 , 0.208886, 0.270102, 0.20909, 0.592285  
 134 , 29044.172925 , 0.306312 , 0.208886, 0.270102, 0.20909, 0.592285  
 135 , 29255.081387 , 0.30836 , 0.208886, 0.270102, 0.20909, 0.592285  
 136 , 29466.2063029 , 0.307246 , 0.208886, 0.270102, 0.20909, 0.592285  
 137 , 29676.7552431 , 0.307193 , 0.208886, 0.270102, 0.20909, 0.592285  
 138 , 29887.4814041 , 0.307937 , 0.208886, 0.270102, 0.20909, 0.592285  
 139 , 30098.121599 , 0.307135 , 0.208886, 0.270102, 0.20909, 0.592285  
 140 , 30370.683167 , 0.307984 , 0.2089, 0.270102, 0.209801, 0.592285  
 141 , 30581.601594 , 0.306795 , 0.2089, 0.270102, 0.209801, 0.592285  
 142 , 30792.1215661 , 0.306906 , 0.2089, 0.270102, 0.209801, 0.592285  
 143 , 31003.11203 , 0.306351 , 0.2089, 0.270102, 0.209801, 0.592285  
 144 , 31214.233423 , 0.306743 , 0.2089, 0.270102, 0.209801, 0.592285  
 145 , 31425.359828 , 0.306738 , 0.2089, 0.270102, 0.209801, 0.592285  
 146 , 31636.180017 , 0.307102 , 0.2089, 0.270102, 0.209801, 0.592285  
 147 , 31847.0334299 , 0.307381 , 0.2089, 0.270102, 0.209801, 0.592285  
 148 , 32058.1448469 , 0.306657 , 0.2089, 0.270102, 0.209801, 0.592285  
 149 , 32269.058646 , 0.307486 , 0.2089, 0.270102, 0.209801, 0.592285  
 150 , 32542.088552 , 0.307968 , 0.209056, 0.270102, 0.209727, 0.592285  
 151 , 32751.2061579 , 0.307389 , 0.209056, 0.270102, 0.209727, 0.592285  
 152 , 32959.929862 , 0.30761 , 0.209056, 0.270102, 0.209727, 0.592285  
 153 , 33169.5499101 , 0.306559 , 0.209056, 0.270102, 0.209727, 0.592285  
 154 , 33378.6800709 , 0.307692 , 0.209056, 0.270102, 0.209727, 0.592285  
 155 , 33588.6134639 , 0.307984 , 0.209056, 0.270102, 0.209727, 0.592285  
 156 , 33798.196569 , 0.307755 , 0.209056, 0.270102, 0.209727, 0.592285  
 157 , 34007.8572869 , 0.307509 , 0.209056, 0.270102, 0.209727, 0.592285  
 158 , 34217.686085 , 0.308123 , 0.209056, 0.270102, 0.209727, 0.592285  
 159 , 34427.8273449 , 0.306914 , 0.209056, 0.270102, 0.209727, 0.592285  
 160 , 34698.950232 , 0.308433 , 0.209118, 0.270102, 0.209842, 0.592285  
 161 , 34908.7166879 , 0.307751 , 0.209118, 0.270102, 0.209842, 0.592285  
