#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 1 , 285.87135601 , 0.236127 , 0.0 , 0.0, 0.0, 0.0 
 2 , 556.049474955 , 0.294145 , 0.0 , 0.0, 0.0, 0.0 
 3 , 764.252180099 , 0.295153 , 0.0 , 0.0, 0.0, 0.0 
 4 , 969.898391962 , 0.292229 , 0.0 , 0.0, 0.0, 0.0 
 5 , 1175.83008599 , 0.287565 , 0.0 , 0.0, 0.0, 0.0 
 6 , 1397.30782008 , 0.287215 , 0.0 , 0.0, 0.0, 0.0 
 7 , 1603.11709905 , 0.286944 , 0.0 , 0.0, 0.0, 0.0 
 8 , 1808.80369902 , 0.286686 , 0.0 , 0.0, 0.0, 0.0 
 9 , 2014.48429394 , 0.286378 , 0.0 , 0.0, 0.0, 0.0 
#Free GPU Mem after validation step 4751.75 MiB 
 10 , 2344.90849495 , 0.286717 , 0.0 , 0.0, 0.0, 0.0 
#wRandFlip 
#The training is running for 1000 chunks, each with 10000 images. That are about 220 epochs. The validation sample contains 6157 images. 
#round  ,time, mean_train_loss , mean_valid_loss, mean_sliced_accuracy, mean_train_loss_test, mean_accuracy 
#  starting learning rate to 0.010000 
 1 , 314.804708004 , 0.122279 , 0.0 , 0.0, 0.0, 0.0 
 2 , 581.457461119 , 0.11329 , 0.0 , 0.0, 0.0, 0.0 
 3 , 787.765432119 , 0.106857 , 0.0 , 0.0, 0.0, 0.0 
 4 , 994.020680904 , 0.104489 , 0.0 , 0.0, 0.0, 0.0 
 5 , 1200.40744901 , 0.102831 , 0.0 , 0.0, 0.0, 0.0 
 6 , 1406.09332299 , 0.101905 , 0.0 , 0.0, 0.0, 0.0 
 7 , 1611.98860693 , 0.101638 , 0.0 , 0.0, 0.0, 0.0 
 8 , 1818.09234309 , 0.100432 , 0.0 , 0.0, 0.0, 0.0 
 9 , 2023.8333149 , 0.100148 , 0.0 , 0.0, 0.0, 0.0 
#Free GPU Mem after validation step 4752.75 MiB 
 10 , 2349.7264719 , 0.0996877 , 0.0 , 0.0, 0.0, 0.0 
 11 , 2556.21272612 , 0.0992142 , 0.0 , 0.0, 0.0, 0.0 
 12 , 2762.07331705 , 0.0989873 , 0.100623, 0.191311, 0.0983604, 0.799805  
 13 , 2967.74344707 , 0.0987844 , 0.100623, 0.191311, 0.0983604, 0.799805  
 14 , 3173.34246206 , 0.0983696 , 0.100623, 0.191311, 0.0983604, 0.799805  
 15 , 3378.99924397 , 0.0979323 , 0.100623, 0.191311, 0.0983604, 0.799805  
 16 , 3584.74092507 , 0.0971362 , 0.100623, 0.191311, 0.0983604, 0.799805  
 17 , 3791.01331306 , 0.0975804 , 0.100623, 0.191311, 0.0983604, 0.799805  
 18 , 3997.44308996 , 0.0969408 , 0.100623, 0.191311, 0.0983604, 0.799805  
 19 , 4203.8605051 , 0.097284 , 0.100623, 0.191311, 0.0983604, 0.799805  
 20 , 4471.99840593 , 0.0973042 , 0.0985049, 0.19117, 0.096132, 0.810221  
 21 , 4678.76630211 , 0.0973596 , 0.0985049, 0.19117, 0.096132, 0.810221  
 22 , 4885.51481891 , 0.0966089 , 0.0985049, 0.19117, 0.096132, 0.810221  
 23 , 5092.76691413 , 0.096662 , 0.0985049, 0.19117, 0.096132, 0.810221  
 24 , 5299.59897995 , 0.0962954 , 0.0985049, 0.19117, 0.096132, 0.810221  
 25 , 5506.66863108 , 0.0964648 , 0.0985049, 0.19117, 0.096132, 0.810221  
 26 , 5713.607728 , 0.096425 , 0.0985049, 0.19117, 0.096132, 0.810221  
 27 , 5920.70705605 , 0.0962189 , 0.0985049, 0.19117, 0.096132, 0.810221  
 28 , 6128.10626793 , 0.0960735 , 0.0985049, 0.19117, 0.096132, 0.810221  
 29 , 6335.62523198 , 0.0954027 , 0.0985049, 0.19117, 0.096132, 0.810221  
 30 , 6604.09427404 , 0.0957742 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 31 , 6811.72220612 , 0.0959135 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 32 , 7019.57850695 , 0.0964622 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 33 , 7227.21826005 , 0.0961848 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 34 , 7435.30201006 , 0.0959723 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 35 , 7643.70649409 , 0.0954911 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 36 , 7851.88224506 , 0.0951979 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 37 , 8060.63580108 , 0.0954704 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 38 , 8269.47169304 , 0.0956902 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 39 , 8478.51355505 , 0.095645 , 0.0980799, 0.188242, 0.0947164, 0.812012  
 40 , 8748.21803808 , 0.0954021 , 0.0974744, 0.190281, 0.0944248, 0.816569  
 41 , 8956.38226891 , 0.0950939 , 0.0974744, 0.190281, 0.0944248, 0.816569  
 42 , 9164.78235507 , 0.0950332 , 0.0974744, 0.190281, 0.0944248, 0.816569  
