  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
  #wRandFlip 
#The training is running for 20 chunks, each with 1008 images. That are about 0 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.080000 
 1 , 50.9156239033 , 0.175352 , 0.0 
 2 , 85.9646060467 , 0.165307 , 0.0 
 3 , 119.533633947 , 0.1638 , 0.0 
 4 , 152.638386965 , 0.162703 , 0.0 
 5 , 185.201407909 , 0.163825 , 0.0 
 6 , 217.706685066 , 0.166063 , 0.0 
 7 , 250.197099924 , 0.164645 , 0.0 
 8 , 282.743726015 , 0.163952 , 0.0 
 9 , 315.264049053 , 0.163255 , 0.0 
 10 , 347.769603968 , 0.164596 , 0.0 
 11 , 380.390604019 , 0.165106 , 0.0 
 12 , 412.987672091 , 0.164213 , 0.0 
 13 , 450.21330905 , 0.163338 , 0.0 
 14 , 482.246929884 , 0.164168 , 0.0 
 15 , 514.772614002 , 0.165311 , 0.0 
 16 , 547.342496872 , 0.162547 , 0.0 
 17 , 579.820637941 , 0.165608 , 0.0 
 18 , 612.460108995 , 0.16724 , 0.0 
 19 , 644.938126087 , 0.163491 , 0.0 
#Free GPU Mem after validation step 382.9375 MiB 
 20 , 732.158698082 , 0.161037 , 0.0 
  #wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
  #wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#continuing from analysis/final/try_convent_continueAt0p02.pkl  #wRandFlip 
#The training is running for 1000 chunks, each with 1008 images. That are about 17 epochs. The validation sample contains 3078 images. 
#round  ,time, mean_train_loss , mean_valid_loss 
#  starting learning rate to 0.020000 
 1 , 70.313174963 , 0.085315 , 0.0 
 2 , 102.867380857 , 0.0852922 , 0.0 
 3 , 135.449385881 , 0.0847299 , 0.0 
 4 , 167.958415985 , 0.0838462 , 0.0 
 5 , 204.588762999 , 0.0854405 , 0.0 
 6 , 235.872982979 , 0.0856535 , 0.0 
 7 , 267.348574877 , 0.0852708 , 0.0 
 8 , 298.620674849 , 0.0842187 , 0.0 
 9 , 329.958112955 , 0.0842172 , 0.0 
 10 , 361.338087797 , 0.0861063 , 0.0 
 11 , 392.839332819 , 0.087155 , 0.0 
 12 , 424.153064013 , 0.0878793 , 0.0 
 13 , 455.585073948 , 0.0853058 , 0.0 
 14 , 486.981334925 , 0.0860516 , 0.0 
 15 , 518.321133852 , 0.0836668 , 0.0 
 16 , 549.634027004 , 0.0876792 , 0.0 
 17 , 580.983518839 , 0.0871226 , 0.0 
 18 , 612.41008997 , 0.0834824 , 0.0 
 19 , 643.78793788 , 0.0847423 , 0.0 
#Free GPU Mem after validation step 240.3125 MiB 
 20 , 729.332273006 , 0.0839312 , 0.0 
 21 , 760.802785873 , 0.0854337 , 0.0 
 22 , 792.078732014 , 0.0857605 , 0.0825665 
 23 , 823.377771854 , 0.0856329 , 0.0825665 
 24 , 854.741534948 , 0.0871746 , 0.0825665 
 25 , 886.221633911 , 0.0844943 , 0.0825665 
 26 , 917.647699833 , 0.0849741 , 0.0825665 
 27 , 949.105227947 , 0.0867026 , 0.0825665 
 28 , 980.464994907 , 0.0855321 , 0.0825665 
 29 , 1011.85497379 , 0.0867592 , 0.0825665 
 30 , 1043.33359194 , 0.0856963 , 0.0825665 
 31 , 1074.81701398 , 0.0853648 , 0.0825665 
 32 , 1106.21633792 , 0.0870012 , 0.0825665 
 33 , 1137.61216688 , 0.086267 , 0.0825665 
 34 , 1169.03542185 , 0.084865 , 0.0825665 
 35 , 1200.49972701 , 0.0860271 , 0.0825665 
 36 , 1231.89010096 , 0.0865634 , 0.0825665 
 37 , 1263.35618782 , 0.0855337 , 0.0825665 
 38 , 1294.69656396 , 0.0851368 , 0.0825665 
 39 , 1326.09750295 , 0.0832975 , 0.0825665 
 40 , 1411.17215586 , 0.0845399 , 0.082119 
 41 , 1442.62877893 , 0.0858777 , 0.082119 
 42 , 1473.98650193 , 0.0864228 , 0.082119 
 43 , 1505.26008797 , 0.0851701 , 0.082119 
 44 , 1536.64100599 , 0.0849918 , 0.082119 
 45 , 1568.05813479 , 0.0853941 , 0.082119 
 46 , 1599.37164593 , 0.0845827 , 0.082119 
 47 , 1630.68869996 , 0.0844995 , 0.082119 
 48 , 1662.07307196 , 0.085512 , 0.082119 
 49 , 1693.55277181 , 0.0851533 , 0.082119 
 50 , 1724.9828639 , 0.0854531 , 0.082119 
 51 , 1756.42676497 , 0.0858752 , 0.082119 
 52 , 1787.74371481 , 0.085024 , 0.082119 
 53 , 1819.07946587 , 0.0858989 , 0.082119 
 54 , 1850.35788894 , 0.0847949 , 0.082119 
 55 , 1881.64213181 , 0.0838959 , 0.082119 
 56 , 1913.05397892 , 0.0848273 , 0.082119 
 57 , 1944.52266383 , 0.0852338 , 0.082119 
 58 , 1976.04511881 , 0.0845296 , 0.082119 
 59 , 2007.39453602 , 0.0864294 , 0.082119 
 60 , 2092.53326082 , 0.0868239 , 0.0823825 
 61 , 2124.05344796 , 0.0839747 , 0.0823825 
 62 , 2155.7204299 , 0.0850924 , 0.0823825 
 63 , 2187.22688198 , 0.0863923 , 0.0823825 
 64 , 2218.54517984 , 0.0847035 , 0.0823825 
 65 , 2249.85659194 , 0.0861555 , 0.0823825 
 66 , 2281.20907998 , 0.0839475 , 0.0823825 
 67 , 2312.59196687 , 0.0842272 , 0.0823825 
 68 , 2343.88496399 , 0.0859753 , 0.0823825 
 69 , 2375.21799898 , 0.0876415 , 0.0823825 
 70 , 2406.59105396 , 0.0853494 , 0.0823825 
 71 , 2438.00022388 , 0.083385 , 0.0823825 
 72 , 2469.40054202 , 0.0870714 , 0.0823825 
 73 , 2500.78158188 , 0.0852895 , 0.0823825 
 74 , 2532.20286584 , 0.0837828 , 0.0823825 
 75 , 2563.69013286 , 0.0830656 , 0.0823825 
 76 , 2595.01801801 , 0.0851901 , 0.0823825 
 77 , 2626.41159797 , 0.0848463 , 0.0823825 
 78 , 2657.85464883 , 0.0835365 , 0.0823825 
 79 , 2689.16779089 , 0.0881368 , 0.0823825 
 80 , 2774.05773497 , 0.0835903 , 0.0821913 
 81 , 2805.44431186 , 0.0831913 , 0.0821913 
 82 , 2836.84036183 , 0.085718 , 0.0821913 
 83 , 2868.30175686 , 0.0844676 , 0.0821913 
 84 , 2899.5974369 , 0.0838282 , 0.0821913 
 85 , 2931.09310079 , 0.0849441 , 0.0821913 
 86 , 2962.48473001 , 0.0851618 , 0.0821913 
 87 , 2993.85513091 , 0.0865132 , 0.0821913 
 88 , 3025.35079384 , 0.0846663 , 0.0821913 
 89 , 3056.79869199 , 0.0849992 , 0.0821913 
 90 , 3088.23457193 , 0.083932 , 0.0821913 
 91 , 3119.60847783 , 0.0842376 , 0.0821913 
 92 , 3151.086375 , 0.0863076 , 0.0821913 
 93 , 3182.4718709 , 0.0861698 , 0.0821913 
 94 , 3213.94204998 , 0.0848182 , 0.0821913 
 95 , 3245.59979486 , 0.0857216 , 0.0821913 
 96 , 3277.07569695 , 0.0843991 , 0.0821913 
 97 , 3308.44190383 , 0.0851077 , 0.0821913 
 98 , 3339.78269696 , 0.0849525 , 0.0821913 
 99 , 3371.13444185 , 0.082293 , 0.0821913 
 100 , 3456.35377598 , 0.0844759 , 0.0824655 
