round  ,time, mean_train_loss , mean_valid_loss 
 5 , 351.76056695 , 0.284157 , 0.281301 
 10 , 601.10763216 , 0.286813 , 0.281301 
 15 , 847.622368097 , 0.285799 , 0.281301 
 20 , 1091.58375096 , 0.284206 , 0.281301 
round  ,time, mean_train_loss , mean_valid_loss 
 5 , 303.845280886 , 0.532764 , 0.529055 
 10 , 553.657670975 , 0.533566 , 0.529055 
 15 , 802.013646841 , 0.532831 , 0.529055 
 20 , 1056.15099287 , 0.534728 , 0.529055 
round  ,time, mean_train_loss , mean_valid_loss 
 5 , 367.427828074 , 0.443229 , 0.440538 
 10 , 643.166223049 , 0.444598 , 0.440217 
 15 , 886.075536966 , 0.440755 , 0.436656 
 20 , 1135.87381101 , 0.439399 , 0.434546 
 25 , 1386.47386003 , 0.438555 , 0.431419 
 30 , 1631.72456098 , 0.436728 , 0.430148 
 35 , 1885.26211095 , 0.435011 , 0.429747 
 40 , 2136.80678797 , 0.432837 , 0.428849 
 45 , 2393.42708802 , 0.434744 , 0.42928 
 50 , 2636.77056813 , 0.433604 , 0.428329 
